round,global_test_acc,global_test_loss,global_best_score,client1_val_acc,client2_val_acc,client3_val_acc,client1_pbest,client2_pbest,client3_pbest,round_time
21,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.43414998054504
22,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.45005512237549
23,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.32141256332397
24,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.38171029090881
25,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.2390067577362
26,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.1338906288147
27,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.10699915885925
28,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.48946285247803
29,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.46921181678772
30,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.93482327461243
31,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.38552761077881
32,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.17837929725647
33,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.1827392578125
34,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.59599947929382
35,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.07694149017334
36,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.96539282798767
37,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.74917960166931
38,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.02766752243042
39,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.85510516166687
40,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.80207061767578
41,24.113475177304963,4.474137297992049,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.8016607761383
42,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.48999667167664
43,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.38677716255188
44,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.93481802940369
45,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.02170848846436
46,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.46156406402588
47,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.19286012649536
48,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.57696199417114
49,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.18205666542053
50,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.51276421546936
51,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.30708169937134
52,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.59566450119019
53,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.41803026199341
54,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.6472601890564
55,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.3136990070343
56,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.1949987411499
57,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.7064790725708
58,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.09517073631287
59,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.37355184555054
60,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.5653510093689
61,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.51386713981628
62,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.29407739639282
