round,global_test_acc,global_test_loss,global_best_score,client1_val_acc,client2_val_acc,client3_val_acc,client1_pbest,client2_pbest,client3_pbest,round_time
14,96.50845608292417,0.15214771194712676,97.26190476190476,90.41666666666667,96.8,97.26190476190476,95.0,96.93333333333334,97.26190476190476,97.73632097244263
15,96.99945444626296,0.14579689130789183,97.26190476190476,90.83333333333333,97.2,95.71428571428571,95.0,97.2,97.26190476190476,98.40387392044067
16,96.94489907255864,0.1431195185969359,97.26190476190476,93.33333333333333,95.06666666666666,94.28571428571429,95.0,97.2,97.26190476190476,97.63434505462646
17,96.39934533551555,0.16129360891926778,97.26190476190476,87.08333333333333,96.13333333333334,94.04761904761905,95.0,97.2,97.26190476190476,97.57348346710205
18,96.94489907255864,0.14327673749307748,97.26190476190476,87.91666666666667,94.53333333333333,96.07142857142857,95.0,97.2,97.26190476190476,98.75002145767212
19,96.89034369885434,0.13410410501568676,97.73333333333333,93.33333333333333,97.73333333333333,95.83333333333333,95.0,97.73333333333333,97.26190476190476,97.49161982536316
20,95.14457174031642,0.19395760209941915,97.73333333333333,93.33333333333333,97.73333333333333,96.66666666666667,95.0,97.73333333333333,97.26190476190476,96.53714752197266
21,96.45390070921985,0.14089874644836026,97.73333333333333,92.5,96.26666666666667,95.83333333333333,95.0,97.73333333333333,97.26190476190476,97.39759826660156
22,97.05400981996726,0.13719259068100906,98.4,92.08333333333333,98.4,95.47619047619048,95.0,98.4,97.26190476190476,97.76553535461426
23,96.1811238406983,0.17295813521948353,98.4,93.75,97.2,97.26190476190476,95.0,98.4,97.26190476190476,97.35354614257812
24,96.99945444626296,0.14329503164807303,98.4,95.41666666666667,95.86666666666666,96.30952380952381,95.41666666666667,98.4,97.26190476190476,97.2952229976654
25,96.99945444626296,0.14738528811170093,98.4,92.91666666666667,94.4,95.23809523809524,95.41666666666667,98.4,97.26190476190476,96.51158905029297
26,96.29023458810693,0.1709399481779687,98.4,92.91666666666667,97.33333333333333,97.02380952380952,95.41666666666667,98.4,97.26190476190476,98.12829303741455
27,96.78123295144572,0.15878776093876665,98.4,91.66666666666667,97.46666666666667,96.66666666666667,95.41666666666667,98.4,97.26190476190476,95.92503237724304
28,97.10856519367158,0.14745992961177073,98.4,90.83333333333333,93.86666666666666,93.33333333333333,95.41666666666667,98.4,97.26190476190476,98.32036471366882
29,97.2176759410802,0.14263453123316266,98.4,92.91666666666667,96.66666666666667,97.38095238095238,95.41666666666667,98.4,97.38095238095238,96.66220450401306
30,96.94489907255864,0.15627929840060273,98.4,93.33333333333333,97.6,97.38095238095238,95.41666666666667,98.4,97.38095238095238,97.42731285095215
31,97.2722313147845,0.13969981663555292,98.4,93.75,97.33333333333333,94.16666666666667,95.41666666666667,98.4,97.38095238095238,98.01385545730591
32,97.10856519367158,0.1405808173696077,98.4,92.5,95.46666666666667,96.78571428571429,95.41666666666667,98.4,97.38095238095238,97.94728112220764
33,97.49045280960175,0.12850404297481371,98.4,91.66666666666667,96.93333333333334,96.78571428571429,95.41666666666667,98.4,97.38095238095238,98.86449146270752
34,97.49045280960175,0.1282672871043203,98.4,94.58333333333333,94.93333333333334,97.02380952380952,95.41666666666667,98.4,97.38095238095238,97.88589453697205
35,97.59956355701037,0.13729474466903224,98.4,90.0,96.66666666666667,97.14285714285714,95.41666666666667,98.4,97.38095238095238,97.59346199035645
36,97.54500818330605,0.1395264334037322,98.4,90.41666666666667,96.26666666666667,96.78571428571429,95.41666666666667,98.4,97.38095238095238,97.15073776245117
37,97.16312056737588,0.14906755464898166,98.4,95.0,95.33333333333333,95.23809523809524,95.41666666666667,98.4,97.38095238095238,98.16239976882935
38,97.54500818330605,0.13253939275405016,98.4,92.91666666666667,92.0,96.66666666666667,95.41666666666667,98.4,97.38095238095238,98.44298505783081
39,97.2722313147845,0.14181957334874135,98.4,95.41666666666667,89.2,97.5,95.41666666666667,98.4,97.5,96.95722699165344
40,97.59956355701037,0.12127888634808939,98.4,95.0,98.0,96.9047619047619,95.41666666666667,98.4,97.5,98.60719680786133
41,97.49045280960175,0.125052013256836,98.4,90.41666666666667,95.86666666666666,97.26190476190476,95.41666666666667,98.4,97.5,97.88516807556152
42,97.49045280960175,0.1319940249427575,98.4,93.75,96.53333333333333,96.30952380952381,95.41666666666667,98.4,97.5,97.96303462982178
43,97.38134206219313,0.1347961870407493,98.4,87.08333333333333,96.93333333333334,97.14285714285714,95.41666666666667,98.4,97.5,96.26729154586792
44,96.94489907255864,0.1462855768447204,98.4,92.91666666666667,95.33333333333333,93.33333333333333,95.41666666666667,98.4,97.5,97.21156144142151
45,97.59956355701037,0.13593413966912615,98.4,92.91666666666667,97.46666666666667,95.83333333333333,95.41666666666667,98.4,97.5,96.8431499004364
46,97.2176759410802,0.1425558148089451,98.4,92.91666666666667,95.6,96.30952380952381,95.41666666666667,98.4,97.5,98.48021221160889
47,97.65411893071467,0.12322364698148108,98.4,93.75,96.66666666666667,97.85714285714286,95.41666666666667,98.4,97.85714285714286,96.99916219711304
48,97.32678668848881,0.14186271547052834,98.4,91.66666666666667,96.26666666666667,96.66666666666667,95.41666666666667,98.4,97.85714285714286,98.45990514755249
49,97.59956355701037,0.13616038254885693,98.4,92.91666666666667,96.26666666666667,97.02380952380952,95.41666666666667,98.4,97.85714285714286,97.10692739486694
50,97.2722313147845,0.13608646152514947,98.4,91.66666666666667,96.8,94.88095238095238,95.41666666666667,98.4,97.85714285714286,96.78017163276672
